date;employee_title;employee_status;review_title;pros;cons
2018-02-21;Anonymous;Former Employee;analyst;"It's a great company to work for
";"A lot of lazy expats
1 person found this review helpful
Helpful
Share
Repor"
2018-02-01;N/A;Former Employee, more than 10 years;Fabulous Company!;"Excellent work environment and wonderful people.
";"No cons at this company.
"
2018-01-28;Anonymous;Current Employee;Fair and square place to work in;"Fair and square place to work in.
";"Considered to be the limit for Saudis.
1 person found this review helpful
Helpful
Share
Repor"
2018-01-23;Logistics Coordinator;Former Employee, more than 10 years;Great Company;"Great benefits , Great Company to work for
";"Management, don’t listen only take one that’s in charge word..does not their own research of a Problem
"
2017-12-03;Anonymous;Former Employee;aircraft mechanic;"good benefits and working hours .
";"culture and enviroment weather . also commute.
1 person found this review helpful
Helpful
Share
Repor"
2017-09-19;Anonymous;Current Employee;entry level chemical engineer;"good pay, friendly work environment
";"Long work hours, working on weekends
Be the first to find this review helpful
Helpful
Share
Repor"
2017-09-15;N/A;Former Employee;community life;"bonding for the expats is incredible
";"due to the IPO, they are letting the americans go
1 person found this review helpful
Helpful
Share
Repor"
2017-09-14;Anonymous;Former Employee;Good;"Good compensation, benefits and paid vacation.
";"Poor work ethic and management
Be the first to find this review helpful
Helpful
Share
Repor"
2017-09-07;Anonymous;Former Employee;Women in Aramco workforce;"It is a nice place to work if you just want to occupy space and find a husband.
";"Women will never have the advancement opportunities that men are given because the men refuse to take orders from a woman. It does not matter whether you are a female expat or Saudi the men treat you as a servant. I was actually told by a man that my job was to make tea.
"
2017-05-21;N/A;Current Employee;Engineer II;"Family oriented, very organized, and friendly environment
";"Great company to work for
1 person found this review helpful
Helpful
Share
Repor"
2017-05-31;N/A;Former Employee;Great Pay, Tough to Grow;"Lots of cool projects, pay is good, but for expats no room for growth
";"Takes getting used to live in Saudi Arabia
"
2017-02-25;Anonymous;Former Employee;Operations Engineer;"New challenges always awaits employees, and a great place to improve skills and career.
";"Management always changes and so comes changes in goals and priorities.
"
2016-12-29;Anonymous;Former Employee;best company;"Invest in developing the young talent.
";"All upstream operations are in one country.
1 person found this review helpful
Helpful
Share
Repor"
2016-12-09;Anonymous;Current Employee, more than 10 years;10 years and counting;"Highly focused on employee development. Massive organization
";"because its so big things take time to happen which can be frustrating at times
"
2016-12-07;Anonymous;Former Employee, more than 5 years;Review;"Great company to have on your CV.
";"Sometimes people have the old management mentality. Promotion sometimes depends on how long have you been with the company
"
2016-11-28;Anonymous;Former Employee;Geologist 3;"Comfortable and great pay in contrast to the local market.
";"Extremely hierarchical and slow upward mobility.
"
2016-11-19;Anonymous;Former Employee;Great Company;"It's a great company for someone with a family. The pay is good and the hours are good, stress levels are generally low.
";"If you are looking for a dynamic company, with minimum bureaucracy, and to feel like you've changed something or accomplished something significant in a short time then this is not the place. Everything here takes a long time, but it's due to the size of the company and its history.
"
2016-11-14;Anonymous;Former Employee;ok;"pay was ok. they payed for food and lodging , and the co-workers were nice to work with and had after work activities
";"The area was a war zone site was very close to Yemen
"
2016-08-29;Anonymous;Former Employee;Expat Employee;"I worked at Saudi Aramco from 2007-2013 and loved it. Employee satisfaction varies greatly by division - I consider the years I spent at Aramco to be among the best of my professional life. I had great supervisors and formed lasting connections with my colleagues. I was well-compensated and life on ""camp"" was great. I felt safe and protected by what many called ""Mother Aramco.""
";"Life in Saudi Arabia isn't for everyone. It can be draining. I have heard from friends who are still there that the community aspects have changed and that some changes in management have led to more wide-spread dissatisfaction. (Not based on first person knowledge, I left for different reasons.)
"
2016-10-24;Anonymous;Former Employee;analyst;"good benefits and salary... vacations
";"no career development... very few career opportunities
3 people found this review helpful
Helpful
Share
Repor"
2016-10-06;N/A;Former Employee;Chief Electrician;"pays OK, most companies were stacking rigs and Aramco was still drilling during the time I worked there.
";"The company was very wasteful, probably 85% waste, and disorganized. The technical team men were almost all from either Pakistan or India, and they did not seem to respect anyone not from Pakistan or India.
"
2016-03-11;N/A;Former Employee;Fire Protection Engineer (Intern);"Great company with a lot of opportunities
";"A lot of divisions which can be confusing
"
2016-03-06;N/A;Former Employee, more than 1 year;Industrial Trainer;"Compensation - financial. Head boss was a good leader and trusted the foreign staff to accomplish the job - minimal supervision. Single guys can save a lot of what they earn - nothing in the way of entertainment and relatively cheap prices for goods and services.
";"location, caught between under-achieving trainees and sometimes overly oppressive middle management. Not for married people or families - unless you are guaranteed a spot on the compound. Likewise, the quality of life on the compounds has been falling as well.
"
2016-02-11;N/A;Former Employee;Aramco;"Money, Vacation, Health insurance and Life style
";"No place for improvements Old school management
"
2016-01-08;Anonymous;Current Employee;Business Development Consultant;;"ltant
Jan 8, 2016 - Anonymous Employee 
Recommend
CEO Approval
Business Outlook
Pros
Salary & benefits. Working on large-scale projects. Travel opportunities. Community.
Cons
Limited promotion opportunities. Bureaucracy. Risk-averse culture.
"
