date;employee_title;employee_status;review_title;pros;cons
2020-05-17;Support;Current Employee, more than 5 years;Great benefits, environment can be challenging;"Benefits, PTO, Overtime available, opportunity for advancement.
";"Reactive (instead of proactive) management team, employees tend to pay for quick decisions with little to no input from the people the decision(s) will affect, inconsistent training opportunities.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-01-21;Production Operator;Current Employee, more than 1 year;Used to be great;"Pay is among the highest for entry level in the area. Schedule is not very demanding. Above all, the benefits are spectacular.
";"High turnover due to toxic management. Very low upward mobility. Nepotism. Upper management is not transparent with its workers at all. You can tell certain supervisors and higher ups think they are superior by how they talk to you. The upper management also only pays lip service to listening to employee suggestions. Lastly, despite blowing a lot of hot air on the subject, they are really lax with their safety standards.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2020-05-23;Project Manager;Current Employee, more than 1 year;Hard work, solid mission great place;"Group effort to get work done. Support between departments.
";"Long hours And at times conflicting direction.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-25;Field Support Coordinator;Former Employee;High hopes, Poorly managed company;"Paycheck, benefits, uniforms paid for
";"Poor management, poor training, safety overlooked, underpaid employees, extremely unorganized and no advancement unless your willing to travel.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2020-10-27;Manager;Former Employee, more than 3 years;Managers run;"Horrible ethics .. employees die and they’re ok with it... they cover it up
";"Everything here is horrible!!!!! Don’t work here
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-26;NDT UT Inspector;Current Employee, more than 3 years;High stress environment and poor communication from management;"supportive team mates and a strong culture
";"poor factory direction and top-down communication.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-08-28;Warehouse Worker;Current Employee, more than 3 years;They don't care;"Great benefits, alright pay, some good people.
";"Management does not care, the place is falling apart and they work you to the bone but get mad at the smallest mistake no matter how new you are to it.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-02-15;Technician;Former Employee, more than 1 year;Get ready to work;"Guaranteed work, Plenty of opportunities to learn and advance( to a certain point), part of a growing industry
";"Worked until you burn out is common, some of the industries lowest wages yet highest job demand
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-07-20;Purchaser;Former Employee, more than 1 year;Limited Advancement Opportunities;"Opportunity to work with global counterparts Opportunity to work on renewable energy
";"The company is run from Denmark, leaving little opportunity for advancement in the US.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-04;Production;Current Employee, more than 1 year;Deceiving company;"Aloud overtime there is no other pros
";"Pay is terrible benefits are deceiving no complaints if hurt no pay raises
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
