date;employee_title;employee_status;review_title;pros;cons
2021-04-23;Tech I;Current Employee, less than 1 year;Ok;"Pay is pretty ok I guess
";"Company is too political but ok
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-14;Site Manager;Former Employee;Great for Technicians;"Great experience for your resume
";"Zero work life balance, essentially on call 24/7/365 even on vacation and holidays
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-25;Forklift Operator, Cherry Picker Operator, Crain Operator;Former Employee, more than 5 years;Great company to work for I was there for over 6 years;"I learned a lot the benefits are some of the best I ever had the hours were good and I wish I didn't get laid off.
";"There was a lack of communication between upper management to leads and the cut backs they did weren't the best choices in people to let go.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-10;Production Worker;Former Employee;Great Company to work for;"Great hours, great pay, great schedule, great benefits. Very safe work environment.
";"Management could use some work. Safety could be enforced a little better.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-15;Wind Technician II;Former Employee, more than 1 year;Great company as a whole;"Progressive company, prioritizes safety, values employees
";"Worked at a startup site and the numbers we had to meet were unattainable
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-17;Wind Site Manager;Current Employee;None;"Growing leader in wind industry
";"Bonus structure could be different
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-27;Production Planner;Current Employee, more than 5 years;Once great, not anymore;"Vestas offers great employee benefits and likes to promote from within rather than hiring from outside. They have afforded me great opportunities I may not have gotten else where without a college degree.
";"They have begun to care less and less about their employees. They have shifted focus from safety over output, to output over safety. And seem to view their employees a numbers on a spreadsheet, rather than people.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-10;Logistic Analyst;Former Employee, more than 3 years;Don't even bother;"The health care benefits are good
";"Favoritism no communication bad management
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-15;Logistics;Current Employee, more than 1 year;It's a yikes for me;"pay is better than other places, but still not quite a living wage
";"Misogynistic micromanaging middle management HR complaints get swept under the rug and people get shuffled around without addressing the actual root cause layoffs are frequent in the bad times
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-01;Production Technician;Former Employee, more than 3 years;Production worker;"Great co workers, the company always kept us busy.
";"The work was very repetitive
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-21;NDT Technician Level II;Current Employee, more than 5 years;Vestas;"Easy Job. Will only get fired for attendance Breaking something Alright pay Good insurance Good for beginners
";"Lots of pay cuts Loss of hours Don’t keep there word Lots of politics Not fond of contractors Liberal/Democratic
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-01-26;Data Analyst;Current Employee, more than 8 years;Could be a really great place to work if they were willing to care about people.;"Green energy. Global travel opportunities.
";"Management is terrible, no constiency, very unstable environment. No accountability, or much room for job growth. Can't see yourself there long term.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-04;Production Supervisor;Former Employee;Great company;"People, pay, facilities, travel, wages.
";"There is a lack of advancement available for employees.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-10;Technical Support Engineer;Current Employee, more than 5 years;Avoid if possible;"Very specialized field. Challenging and exciting work when implementing new projects.
";"Management does not care about employees from production floor to engineering team. No clear plan for the future. Employees treated as disposable resources. Favoritism rampant, skills and experience not rewarded.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-23;Wind Site Manager;Current Employee, more than 1 year;Potential but managment needs improvement;"Great company,good pay, lots of potential.
";"Very poor work life balance, too many meetings too little uper management time in field
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-17;Production;Current Employee, more than 5 years;Great while it lasted;"Good pay and benefits can't think of anything else
";"No stability, you're just a number, management isn't transparent, don't expect to move forward if you're not in the good 'ol boys club
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-15;Senior Analyst;Former Employee, more than 5 years;Good place if you like boredom;"Lower level colleagues are great.
";"Management sketchy and interested in their take, primarily.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-05;Wind Turbine Technician II;Current Employee;Work;"Good learning environment, plus very large industry leading wind turbine manufacture.
";"Poor PTO plan, long hours and very rushed to get work done.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-04;Material Handler;Current Employee, more than 1 year;A good shipping/receiving company.;"The work is easy, but there is plenty of it. The people generally get along well. Pay is above average for the industry.
";"Management, especially Lead positions, like to play games and have obvious favorites. Will cut temps for no reason.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-03-03;Mig Welder;Former Employee, more than 8 years;Disorganized;"Pay is not too bad
";"Management team is disorganized, very dishonest and runs completely on the ""buddy system""
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-10;Quality Control;Former Employee, more than 8 years;Meh;"Colleagues are great and when allowed the time, things can sometimes get done
";"Company is going down ...
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-11;Production;Current Employee;Management took a turn;"As of 2020. None. At all
";"Reduced pay, hours, benefits, morals and job security. The company was great for 4 years. But with new management they made a lot of ""cost saving"" descisions at the employees expense
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-14;Anonymous;Former Employee;Great opportunity;"Great management and benefits included
";"None i can think of
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-30;Project Manager;Former Employee, more than 8 years;Too many problems!!;"Vestas has a knack of attracting good people, but not very good at holding onto them.
";"Management talks the talk, but does not walk the walk. Employees are just a number! Felt like I was always being urged to fit square pegs into round holes. Promotion is not very easily attained. Pay and benefits were not adequate for the industry. Bonus was BS and very rarely paid out.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-02-09;Production Worker;Current Employee;Good company to work but less pay for very hard work;"Mot very safe environment. Alots of heavey weight movement.
";"But got a great experience
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-22;Quality Assurance;Former Employee, more than 5 years;Well its gone now;"schedule, pay rate, co workers
";"management is obviously useless and doesn't care about the employees
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-05;Wind Technician III;Former Employee;Heading downhill fast;"Great people to work with
";"uncertain of job Security and future growth of company. Shut down factory I worked at with no guarantee of job with company in the future even if I took traveling tech job
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-07;Site Manager;Current Employee;Good company;"Opportunity for advancement in many divisions
";"None worth mentioning right now
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-18;Technical Support;Current Employee, more than 5 years;Green product;"Saving the earth with the product. Benefits are great.
";"Notorious for lay offs. High turnover of workers.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-24;Service Technician III;Current Employee;Decent company;"Benefits are solid. Lots Positions everywhere
";"Lower pay compared to other wind companies
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-27;Wind Turbine Technician;Current Employee;Great Company;"Good pay, Great benefits. Wonderful way to learn from the ground up
";"I Haven’t found any yet.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-19;Wind Technician;Former Employee, more than 3 years;Good training for entering wind industry;"Benefits, Safety, and paid training at Portland OR facility
";"Pay scale is on the low side compared to other companies in wind industry, but not bad if your a new comer. Role structure is mediocre at times. Question techs with 4+ yr experience, lack knowledge of the platform and quality is no longer the drive and focus.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-24;Supervisor;Current Employee;Best company ever;"Best company ever to work for
";"I don’t have any cons at this time
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-20;Process Lead;Current Employee;Should be great to work for is definitely not.;"Excellent Benefits. Good pay. Good experience.
";"Company lacks transparency for future plans and expects you to just deal with it. No such thing as work life balance.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-29;Blade Technician;Former Employee;Review;"Good experience and foundational skills acquired
";"More company focused than human connection.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-13;Customer Service Representative;Current Employee, more than 5 years;Ok;"Good company with great values
";"Long hours, sometimes no bonus at all
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-06;Wind Technician III;Former Employee, more than 3 years;Great training, good benefits, lots of work opportunities.;"Training, training, training and opportunities for growth.
";"Can be a lot of hours and travel.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-09-28;Service Technician II;Former Employee, more than 1 year;Great training, great benefits;"Great benefits, they pay a good portion to keep prices low. Training is thorough and well taught Very clear path to advance from Tech 1 to Tech 3
";"Hiring process can take a while, around 3 months is what I experienced
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-12;Finsher;Former Employee, less than 1 year;Uptight;"The pay rate is manageable
";"they tell you to do something and then when you go do it they tell you not to do it too many times or else you will get in trouble such as going to see the med staff for a Band-Aid or tiny stuff
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-03;Production;Former Employee;Eh.;"Pay, Benefits, People, Work, Schedule
";"Attitudes, Management, Opportunities, Favoritism, Safety
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-27;Parts Picker;Former Employee, less than 1 year;Inconsistent Management;"Straightforward education of safety policies and consequences
";"Over-relaxed work environment with minimal safety enforcement
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-27;Production Worker;Former Employee;What could be;"People were cool. Schedule was good
";"Poorly managed. Employees weren't valued
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-16;Offshore Wind Turbine Technician;Current Employee;Looking for something different;"A good company to work for
";"Doesn’t have offshore which I’m looking forward to
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
