date;employee_title;employee_status;review_title;pros;cons
2021-08-25;Operations;Current Employee;*;"It’s an interesting career with good pay
";"The shift work really takes a toll on your health.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-27;Project Manager;Current Employee;Great company;"Positive cUlture in the office
";"Locations to work from is limited
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-05;Lab Technician;Current Employee, more than 5 years;Good place to work at but...;"Good place to work at. Safety is the company’s highest priority therefore you can excercise your stop work authority if something is concerning you. Competitive salary plus bonus.
";"Need to play politics game. I think it’s normal for big companies. Management should immerse themselves by working on the floor to know what it’s really going on and not just asking people and take credit for it. Also, hire people who is experienced and not just someone just because your friends with him or her.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-22;Administrative;Current Employee;Reputable;"great benefits as well as flexible hours
";"corporate is sometimes out of touch with the day to day at plant level
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-01;Physical Security Officer;Current Employee;Great place to work;"Good opportunity to learn and great benefits within the company. I’d definitely recommend this to another person
";"It’s hard to advance in the company and it’s be great to get more interaction and understanding from management
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-31;Cashier;Current Employee;Nice place to work at.;"Pretty nice place to work at. Nice management.
";"There are shifts where you have to constantly stand for 8 hours at a time.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-08-28;Board Operator;Current Employee;Good company to start at to develop skills for other opportunities;"Skill development to help with future opportunities
";"Lack of growth opportunities and few people with motivation can lead to a toxic work environment.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-19;Anonymous;Current Employee;Great culture and coworkers;"I love the community culture here and the commitment to do what is right. Benefits are really great as well.
";"Slow to promote. Long road to the top.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-23;Business Analyst;Current Employee;-;"Good work/life balance. Well Managed.
";"Old School Corporation that needs to grow as time changes.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-22;Manager;Current Employee;Good Company;"Pay & Benefits few companies still offer traditional pension
";"Dying industry not good for guys starting in 20s or 30s
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-27;Operator;Former Employee, more than 1 year;Good;"Good environment and clean to work in
";"None really to think of
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-14;Anonymous;Former Employee;Cashier;"Hours Good co workers Good management Did a lot of different things Loved how we got to do the coolor
";"Nothing Pay wasn’t fair Late hours Late night No good time
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-02;Associate Business Analyst;Current Employee, more than 1 year;Great Company, Great Benefits, ok Pay;"They are a family oriented company who care about their employees
";"They could pay their employees better for being such a lean company
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-27;Cashier;Current Employee;It’s ok;"It’s fine if you need a job but easy work
";"Not a lot of room to move up in the company.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-10;Customer Service Representative (CSR);Former Employee, less than 1 year;Great job;"Time oriented however tons of ways to make ur job enjoyable and great staff and community involvement
";"Reviewed by manager several times, call center
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-05;Senior Electrical Engineer;Current Employee, more than 3 years;valero - fuel;"pay and benefits, opportunities to move up
";"long hours for turn around and extra projects.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-08;Travel Agent;Former Employee, more than 10 years;Job review;"Their community involvement is excellent
";"Few opportunities in my career field to advance
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-17;Technology Manager;Former Employee;Company;"Benefits, employment, good team, challenges
";"management, micromanagement, low safety focus, too much red tape to get things done
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-05;Refinery Operator;Current Employee;Great;"Work self paced based on to do list.
";"Schedule is really unstable. Work environment not diverse
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-27;Lab Technician;Former Employee, less than 1 year;Draining and boring;"Great pay Casual and relaxed environment Lot of opportunity for overtime Repetitive and has a lot of physical labor
";"No room for growth No work-life balance Toxic work culture with lots of work drama Environment has moments of high intensity
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-27;Accounting Clerk;Former Employee;It was alright;"easy job that didn’t not require much effort great for a high school student and college
";"low pay and having to deal with fluctuating schedules can be a very big negative to some
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-20;Sales Associate/Cashier;Former Employee;Cashier;"Great customer service and wonderful hospitality
";"Nothing just smooth and reliable service
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-21;Lead Head Process Operator;Former Employee, more than 10 years;Great company location issues...;"Great company to work for family oriented.
";"Local location management is recruited and has people with years of service forced out or terminated to bring in they own people from refineries they previously worked for. HR is also biased and not neutral between worker and corporate relations.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-05-10;Associate Process Engineer;Current Employee, more than 1 year;Great Company Culture and Compensation;"Well paid, good benefits, & great work environment
";"No hand holding / sink or swim type introduction to work load.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-05-31;Music Instructor;Former Employee, less than 1 year;Got Gas?;"Work here cause it stinks
";"It stinks there's gas everywhere
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-17;Process Operator;Former Employee, more than 1 year;Decent;"Schedule Downtime on night shift
";"Forced to move to new areas without compensation
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-02;Vice President;Current Employee;Great company;"Great pay and opportunity for advancement
";"Expectations are high for many
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-20;Scheduler;Current Employee;goood;"Good culture, fun people, excellent development
";"too much competition, lacking transparency
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-06;Operator;Former Employee;Good Environment but Low Pay;"The people with Valero are generally easy to get along with.
";"Hard to move up, and pay is relatively low.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-13;Customer Service Representative;Former Employee, more than 1 year;Consternation Service;;"ernation Service
May 13, 2021 - Customer Service Representative in Amarillo, TX
Recommend
CEO Approval
Business Outlook
Pros
They have a Great benefits package
Cons
Could improve on the job training
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-28;Accountant;Current Employee, more than 5 years;Overall a great company;"Long term employment, company culture is by far the best I’ve seen
";"Not as many growth opportunities as you may think
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-24;Engineer;Former Employee;Great place to work;"Great benefits, challenging work, growth opportunity
";"Lots of hours, operations is unionized and can be challenging to work with at times
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-27;Area HSE Manager;Current Employee;Valero - Great place;"Great benefits, competitive pay, company with integrity
";"To really move up, you need to be able to relocate
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-24;Process Operator;Current Employee;No growth;"Easy work, good benefits, decent pay for the work
";"Your crew makes or breaks the experience, swing shift, no room for advancement
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-23;Sales Associate/Cashier;Current Employee;valero;"its an ok store needs improvements and better work ethics
";"Very bad customer service at the store management is poor
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-14;Associate Business Analyst;Current Employee, more than 1 year;Old Fashioned Business Model Struggles to Adapt;"Valero gives you many chances to succeed and your job is secure as long as you are a hard worker. You know where you stand most of the time and can see success if you show commitment.
";"They are a very old fashioned company that makes it hard to stay energetic everyday. You know you have a good opportunity, but the focus on the older generation often leaves new hires and younger employees feeling like the culture is out of touch and needs to adapt with the times
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-06-13;Manager;Current Employee, more than 3 years;Its a job;"Work schedule is pretty flexible
";"Under payed for everything you do
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-18;Manager;Current Employee;Great;"Fantastic company by to work for
";"It sucks to suck dude
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-14;Trader;Current Employee;Good;"Good place to work . Very rewarding
";"Nothing to note, good place to work
Be the first to find this review helpful
Helpful
Share
Repor"
2021-04-09;Process Operator;Current Employee;Valero west plant;"Great company, great benefits, great people
";"This is shift work, 4 on 4 off
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-28;Customer Service Representative;Former Employee, less than 1 year;Wonderful place to work;"You build relationships with people in your community. It’s really wonderful to make someone’s day by knowing what they buy and their name. Not to mention the environment is always moving so you don’t have to worry about being stagnant.
";"You may have to deal with situations that are dangerous but they do have an amazing security system
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-04-04;Engineer;Current Employee;Good;"The pay is extremely extremely good
";"Love Co-workers too much and it’s i furuatintjng.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-05-07;Process Operator;Current Employee, more than 3 years;Good pay and benefits;"Pay is good, regulated so there's no worry your peers at the same level/job title make more than you. 401 matching is good / various medical plans to choose from. Built in OT
";"Pension program is gone for newcomers :( No or slow job growth once you reach Op 1
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-20;SAP ABAP Developer;Former Employee, more than 8 years;Joke of the century;"If I dId not have to cover this space for the word limit, I would have left this completely EMPTY
";"Its 2021 and they operate in stone age. Old fashioned is an understatement. Stuck up management who thinks people die to work for the company. Good luck filling those roles.
Verify your email to continue reading or Resend email
7 people found this review helpful
Helpful
Share
Repor"
2021-03-30;Safety Engineer;Current Employee, more than 3 years;Great company;"Opportunity to learn and progress
";"Turnaround support and no extra compensation
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-12;Reliability Engineer;Current Employee, more than 5 years;Okay company;"Low chance of layoffs, decent benefits
";"Management does not listen, lack of promotion, pay is lagging behind industry standards for running lean.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-03-16;Anonymous;Current Employee, more than 3 years;Behind the times;"The benefits are really great.
";"Really disappointing treatment during the pandemic. The company worked from home for about 2 months. Then they brought us back because ""we work better together"". But really they don't trust their employees at all. Very old school thinking. Put their employees and their families at risk because they want us in our seats. Also, they give random drug tests (hair sample). Which speaks again to not trusting their employees.
Verify your email to continue reading or Resend email
4 people found this review helpful
Helpful
Share
Repor"
2021-03-16;IT Manager;Former Employee, more than 5 years;Nice place to work;"Good Benefits, Stability,401K Match, Pension
";"Outdated IT Process, No growth
2 people found this review helpful
Helpful
Share
Repor"
2021-05-26;Engineer;Former Employee;Engineer;"No Work life balance. Remote working is highly discouraged
";"Pay and benifit are good
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-28;Senior Accountant;Former Employee, more than 10 years;Drain the Swamp;"Company at its core is a great company with great benefits
";"Operations accounting has poor management. Insufficient staff, heavy workloads, unrealistic expectations, poor workload balance. Had to return too quickly to the office during peak covid period.
Verify your email to continue reading or Resend email
3 people found this review helpful
Helpful
Share
Repor"
2021-03-15;Gas Station Attendant;Former Employee, more than 3 years;It was fine;"interacting with the customers was fun
";"cleaning was a bit of a pain
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Report
Valero Energy Response
Valero manufactures fuels for distribution and does not own convenience stores or retail gas stations and does not employ convenience store or retail gas station personnel. Your comments reflect the company that owns and operates the store"
2021-03-31;QA/QC Technician;Former Employee;Company Invests Very Little in QA/QC Department;"-Wide range of analytical equipment to learn about -Low standards for technician education -Good amount of autonomy for portion
";"-Low standards for technician education -Small department size -Bad hours -Company devotes majority of attention/resources to other departments, neglecting QA/QC
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-05-18;Associate Scheduler;Current Employee;No Transparency from managemtn;"Benefits are great and Job Security
";"Location, Management is not reliable, Political
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-13;Scheduler;Current Employee;Valero is Great;"Great Work Culture Great Benefits and Pay Interesting Job
";"San Antonio isnt the best for young perfesionals
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-01-05;Process Engineer;Current Employee;Great Opportunities, Great People;"Many different areas and disciplines for limitless growth. Hard work and interest allow for more opportunities. Decent pay with great benefits.
";"Depending on the job, it can quite demanding and taxing. Not a progressive company, thus unsupportive if abnormal request or non-conventional idea that don't have a policy. Promotions based on time and tenure, rather than quality of work.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-03-01;Loss Prevention;Former Employee;Not bad;"Good Benefits and Pay. Solid employee foundation. Easy commute
";"Too much bureaucracy. Management could better
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-26;Engineer;Former Employee;Excellent team;"It was easy to call up other engineers from other plants and talk through problems Most people were great to work with and wanted to help you succeed
";"It is a very structured and time consuming process to get projects approved
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-21;Cashier;Former Employee;Cashier at Valero;"Good pay for area & good management
";"Scheduling issues with other employees often calling in
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-11;Process Operator;Current Employee;Great job;"Pay, benefits, job duties, good company to work for and coworkers
";"You will be forced to work extra schedules on occasion
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-20;Senior Pipeline Controller;Former Employee, more than 10 years;Great Company;"They have a Great Benefits Package
";"No downside to working at Valero
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-11;Systems Engineer;Current Employee;Amazing place;"Great set of people to work with
";"I wish Valero was not as conservative
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-21;Accounting Coordinator;Current Employee;Accounting Coordinator;"Valero is a great place to work
";"May get stuck in a job position if you are not attempting to make a lateral move or apply for a new position.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
