date;employee_title;employee_status;review_title;pros;cons
2020-06-25;Mechanical Engineer;Former Employee, more than 3 years;Poor management;"Great people, good experience with a big name company, good salary
";"Very difficult to get promoted. HR did nothing to help employees. Some old school managers that don't do their job effectively
"
2020-06-10;Technical Delivery Manager;Former Employee, more than 5 years;company review;"good working environment and flexible
";"long hours and pay rises are small
Be the first to find this review helpful
Helpful
Share
Repor"
2020-06-09;Software Engineer;Former Employee;Short term;"Great place to work for an engineer
";"They don't like to keep people long term
Be the first to find this review helpful
Helpful
Share
Repor"
2020-06-09;Product and Service Delivery Manager;Former Employee, more than 5 years;Will dominate your life, 24/7;"Compensation is competitive and co-workers are fantastic
";"Work/Life Balance is pretty bad if you are 100% committed to your job. The work/life balance is what you make of it however. You want to be the best, the PSDM job will dominate your life. If you're OK with just being mediocre and towing the company line, you'll probably enjoy it.
"
2020-06-09;Senior Drilling Engineer;Former Employee, more than 10 years;There is a lot about the firm that is great;"International Experience with versatile teams
";"Work life balance and travelling
Be the first to find this review helpful
Helpful
Share
Repor"
2020-06-07;Field Service Technician;Former Employee, more than 3 years;Highly motivated, professional seeking a challenging career in a progressive organization.;"Enjoyed every moment while working for the company,
";"Absolutely, nothing to regret while working for the company
Be the first to find this review helpful
Helpful
Share
Repor"
2020-06-03;Field Engineer;Former Employee, more than 8 years;Field Engineer;"Great training and challenging projects
";"bad management culture. massive layoffs
"
2020-06-21;Business Planner;Former Employee, more than 10 years;Business Planner;"This is a challenging job and it is fullfilling if you meet the demands
";"You will be overworked , family work balance is off
"
2020-06-21;Sourcing Specialist;Former Employee;Not great;"Great pay. Regular raises were given
";"Long hours had to be put in
Be the first to find this review helpful
Helpful
Share
Repor"
2020-06-05;Sourcing Manager;Former Employee, more than 10 years;Great company for internal career growth;"Ability to move to positions outside of scope/degree, ability to move to other domestic or international work locations. Training, technology availability. Benefits, medical, profit sharing, 401k match.
";"All companies have some cons, overall SLBs cons do not outweigh the Pros, a great company to work for!
"
